1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.551090	0.000000	2960.264678	0.004266	7222.0
1	-0.581177	0.000000	2960.264678	0.003994	7.8
2	-0.537187	1.000000	2825.707192	0.004739	7.5
3	-0.533903	2.000000	2702.850358	0.004197	8.0
4	-0.547939	3.000000	2590.231597	0.004100	7.3
5	-0.559165	2.055110	2696.389572	0.004875	7.4
6	-0.561223	3.055110	2584.297398	0.004637	7.7
7	-0.543470	4.055110	2481.152874	0.003625	7.6
8	-0.550258	5.055110	2385.925762	0.004692	7.8
9	-0.532330	4.110220	2475.707422	0.004557	7.6
10	-0.550192	5.110220	2380.889860	0.004335	7.7
11	-0.534330	4.165330	2470.285821	0.003862	7.6
12	-0.569429	5.165330	2375.875171	0.003460	7.6
13	-0.530440	6.165330	2288.415341	0.003800	7.7
14	-0.519315	7.165330	2207.165970	0.004609	8.0
15	-0.547705	6.220440	2283.782252	0.004680	8.2
16	-0.572258	7.220440	2202.855732	0.004277	8.2
17	-0.542007	8.220295	2127.478782	0.004657	8.4
18	-0.529989	9.220289	2057.080208	0.003775	8.5
19	-0.542968	10.220289	1991.190997	0.004558	8.4
20	-0.566005	9.275399	2053.335721	0.004651	9.0
21	-0.555285	10.275399	1987.682339	0.003899	8.3
22	-0.551332	9.330509	2049.604839	0.004303	8.8
23	-0.526022	10.330509	1984.186022	0.003775	10.4
24	-0.536568	11.330509	1922.814083	0.004482	10.0
25	-0.544418	12.327424	1865.297423	0.004135	8.9
26	-0.512515	11.382534	1919.724936	0.004060	9.7
27	-0.555133	10.440368	1977.252890	0.004183	10.0
28	-0.520504	9.495478	2038.517263	0.004248	8.5
29	-0.557128	10.429866	1977.913545	0.004560	8.9
30	-0.567634	9.485071	2039.213190	0.004372	8.5
31	-0.545068	10.485071	1974.445568	0.004890	8.7
32	-0.533672	9.540181	2035.533410	0.004096	9.1
33	-0.550460	10.540181	1970.995625	0.003974	8.4
34	-0.547797	9.595291	2031.866886	0.003956	8.7
35	-0.536610	8.650405	2096.617528	0.004110	8.7
36	-0.538464	9.650405	2028.213292	0.003806	8.9
37	-0.529145	10.650405	1964.131543	0.003831	11.7
